,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2025-02-18,109.55999755859376,109.91999816894533,108.70999908447266,109.77999877929688,8362900
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2025-02-19,111.3499984741211,111.76000213623048,109.13999938964844,109.13999938964844,8452100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2025-02-20,110.5500030517578,111.5199966430664,109.37999725341795,111.23999786376952,5970100
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2025-02-21,108.66000366210938,111.76000213623048,107.91999816894533,111.0,9082100
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2025-02-24,111.1999969482422,111.55999755859376,108.6500015258789,108.83999633789062,7093300
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,2025-02-25,110.52999877929688,111.9000015258789,109.06999969482422,111.43000030517578,7289000
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2025-02-26,111.83000183105467,113.25,110.05999755859376,110.05999755859376,7831600
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,2025-02-27,111.30999755859376,113.12000274658205,111.05999755859376,112.31999969482422,7854700
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,2025-02-28,113.8000030517578,113.98999786376952,111.0,111.45999908447266,14609400
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,2025-03-03,112.79000091552734,115.5500030517578,112.0,114.06999969482422,7884700
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,2025-03-04,109.01000213623048,112.25,108.2699966430664,111.6999969482422,12658000
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,2025-03-05,109.30999755859376,110.94000244140624,108.22000122070312,109.33999633789062,9956100
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2025-03-06,105.43000030517578,108.83000183105467,105.0199966430664,108.37999725341795,11618800
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,2025-03-07,105.51000213623048,105.7699966430664,103.30999755859376,105.0,12715900
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,2025-03-10,103.08000183105467,104.8000030517578,102.11000061035156,104.43000030517578,10947100
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2025-03-11,97.9000015258789,101.04000091552734,97.4499969482422,99.79000091552734,16906000
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,2025-03-12,98.76000213623048,99.48999786376952,96.37999725341795,98.68000030517578,11891800
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,2025-03-13,96.87000274658205,98.6500015258789,95.93000030517578,97.7699966430664,11059500
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,2025-03-14,98.63999938964844,99.0999984741211,97.41999816894533,97.44000244140624,10199800
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,2025-03-17,99.36000061035156,100.12000274658205,98.66000366210938,98.73999786376952,8332100
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,2025-03-18,99.3499984741211,99.7300033569336,98.4800033569336,99.2699966430664,6727000
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,2025-03-19,100.29000091552734,100.95999908447266,99.47000122070312,99.66000366210938,8614600
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,2025-03-20,98.86000061035156,100.0500030517578,98.63999938964844,99.56999969482422,7836500
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,2025-03-21,99.45999908447266,99.88999938964844,97.75,98.37999725341795,15071000
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,2025-03-24,99.27010345458984,100.44000244140624,99.18000030517578,100.22000122070312,1478233
