,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,2025-02-06,711.3571166992188,718.2610086889607,702.8746730458445,705.2525623903425,13080700
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,2025-02-07,713.8848876953125,724.3655534509123,711.1173304150035,716.162829309228,16427100
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,2025-02-10,716.7623291015625,720.558939093694,710.697717393577,717.9212711485029,12904300
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,2025-02-11,719.16015625,723.0167104534308,709.4088221751414,712.6859358478964,12998000
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,2025-02-12,724.7352294921875,726.4536713486742,711.9665601009159,714.6641723225413,12016500
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,2025-02-13,727.9124145507812,728.3520258945355,717.4017457743258,720.8786940316196,12569100
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2025-02-14,736.0151977539062,740.2514192957425,724.9750316832167,725.4945889979003,16901200
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,2025-02-18,715.7332153320312,736.3448822468013,705.8120494058986,735.3457711447024,21938700
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2025-02-19,703.1444702148438,706.37157970015,694.7719139390767,703.4741329865286,17535500
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2025-02-20,694.222412109375,705.0027993686539,693.0234665438812,696.6602457328806,12587400
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2025-02-21,682.9423828125,703.2443277596083,681.7534381597311,695.9608297659651,15660400
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2025-02-24,667.5361328125,686.6591347238324,661.8611888382964,685.6700244492644,15677000
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2025-02-25,656.9155883789062,667.406255569748,641.2894751849396,665.3780306420172,20579700
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,2025-02-26,673.1011962890625,682.4029186886339,657.4151389833991,659.0636967789872,14488700
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2025-02-27,657.6549072265625,688.0379111520425,656.9855198372225,681.8434098860729,12500000
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,2025-02-28,667.6060791015625,669.034800720811,642.0287972080544,657.4550757218477,17534200
